,Start,End,News,News,News,News,News,News,News,News,News,News,Senti
,,,,Mixed fortunes for market debutants,Tencent warns of falling margins,Tencent soars as CSCL falls on investor valuation doubt,Mobile media listing frenzy opens Pandora;s box,Mobile media listing frenzy opens Pandora;s box,UPGRADES AND DOWNGRADES,Profit takers to mar IPOs; welcome,Shares gain as worries over credit costs ease,Ping An plays safe with midrange IPO price,
,,,New listings losing their appeal,Recruitment portal job eyes Nasdaq listing,Prices ease as property rally runs out of steam,,,,,,,,
,,,SMS crackdown to hurt Tencent profits,SMS crackdown to hurt Tencent profits,,,,,,,,,
,,,WHAT THE BROKER SAYS,Blue chips slip as Ivan revives energy worries,,,,,,,,,
,,,China Power IPO price at top end,Venture funds seen pouring into China,Oil price falls bring out buyers as stocks surge,,,,,,,,
,,,,,Tencent seeks earnings from games,Tencent seeks earnings from games,,,,ICQ seeks mainland partnership,NSFocus tracks down bugs for global computer giants,NSFocus tracks down bugs for global computer giants,
,,,Tencent sees lower profit on China Mobile deal,Tencent sees lower profit,,,Naspers to take stake in ad firm,Beijing Media outlines TV programme,,,,,
,,,,,,,,,,,,,
,,,Cyber deal may spark shakeup,Stocks inch up listlessly as investors await cues,,,,,,,,,
,,,Business digest,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"Tencent shrugs off profit dip, global rival",,,,,,,,,
,,,Services key to adoption of broadband TV,,,,,,,,,,
,,,Mainland chat service wants users; real names,,,,,,,,,,
,,,Tencent seeks to cash in on boom,,,,,,,,,,
,,,WHAT THE BROKER SAID,Online operator marches with the penguin,Pirates of the PRD,China Net heroes slate Wall Street,China Net heroes slate Wall Street,,,,,,
,,,,,,,,,,,,,
,,,Tencent claims it will not sell out,Mainland internet provider to raise rates on claims its hits are up,,,,,,Weblogs blossom as the mainland logs on,,,
,,,Newspaper staff strike over reshuffle,"Shanda prefers free over fee, but rivals not game","Shanda prefers free over fee, but rivals not game",Musicsharing sings a different tune,,,,,,,
,,,China grapples with Web . era,,,,,,,,,,
,,,China internet firms eye up to US$b in offerings,US draft bill targets China censorship,,,,,,,,,
,,,Tencent bets on internet as mobile income falls,,,Appointments,,,,,,,
,,,,,,,,,,,,,
,,,Tencent net profit up pc on games surge,Microsoft and China.com look to team up,,Alliance set to drive China gaming,,,,Yahoo must take responsibility for jeopardising citizens,Mainland hedge fund blazes path into future,,
,,,Local firms appeal more to graduates,Dotcoms take on bigger rival with free auction service,Top stock pickers ride wave of mainland boom,Jack of diamonds,,,,,,,
,,,Technology Digest,,,,,,,,,,
,,,,,Valueadded services lift Tencent profit .pc,,,,,,,,
,,,EBay China in talks on merger with Tom Online,Taobao looks beyond fees for growth,China Mobile to scrap free trial,Online spoofs now part of mainstream,,,,,,,
,,,Tech digest,EBay vows longterm play in China,,,,,,,,,
,,,Tencent profits surge pc,Corrections; clarifications,,,Virtual coin makes its mark on the real world,,,,"Ecology damage severe, say pc in online survey",Hugging the profit motive,
,,,Tencent nears mobile chat deadline,Tencent nears mobile chat deadline,EBay deal buoys Tom Online,,,,,,,,
,,,Tencent gets message to open up QQ platform,More state backing a mixed blessing for Net,More state backing a mixed blessing for Net,,,,,,,,
,,,Sina profit drops pc as wireless sales slide,Baidu tempers profit rise with warning,,,,,,,,,
,,,,Slump in online games casts shadow on Tencent;s success,,,,,,,,,
,,,Taobao carries on with QQ coins,Curbs will not affect gaming shares,Technology digest,,,,,,,,
,,,Virtual currency helps Tencent increase sales,"Tencent focuses on advertising, online games",Investors pounce on new MSCI members,Results,Results,Baidu captures lead in online advertising,China leads in smart phone sales for Nokia,,,,
,,,Kingsoft seeks to raise US$m in initial offering,Google helps Sina search for mainland solutions,,,,,,,,,
,,,Rivals unite to challenge Sohu Olympic coverage,Alibaba.com to raise US$b from HK initial public offering,Online gamers find ways to beat new curbs,,,,,,,,
,,,Tencent profit rises  per cent on soaring sales,Results,Results,Sohu puts pc drop for quarter down to costs,TVB;s mainland agent accuses Net firm of copyright violation,Gambling Man,,,,,
,,,Kingsoft gears up for expansion as it seeks to raise up to HK$m,,,,,,,,,,
,,,,Alibaba to sell mostly existing shares in IPO,A crazy English man?,Alibaba forecasts its net profit to double,,,,,,,
,,,Sina profit up pc on online ads,NetDragon eyes mainboard listing,Tencent posts .pc income growth,,Alibaba tipped for pc debut surge,"Goldenbridge, Domain plan New York IPOs",,,,,
,,,In Brief,Giant Interactive sued for nondisclosure,,,,,,,,,
,,,,,,,,,,,,,
,,,A Music plans share sale to raise HK$m,Sina profit gets pc boost from Net advertising,Homegrown amateur songwriters find a voice on mobiles,Alibaba surges .pc as Microsoft;s Yahoo bid excites market,,,,,,,
,,,Tencent profit up pc,In Brief,Movius expects sales in Asia to reach pc,Results,Alibaba profit surges pc but stock falls,ChinaCache to double capacity for CDN service,,,,,
,,,,Baidu Hi well received but unlikely to dislodge QQ from top,,,,,,,,,
,,,Results,"Indexbound Chalco, Tencent push higher",In Brief,Quake to affect online revenues for game firms,Tom Eachnet drops feebased model to catch up with rival,"PCCW, CKI lose bluechip status",Mainland executive salaries close in on Wall Street levels,,,,
,,,Company profile Tencent,Hopes high for recovery as Chengdu rises from ruins,Stock markets brace for volatility,,,,,,,,
,,,In Brief,Nineyou eyes US$m from HK share offer,,,,,,,,,
,,,Tencent shrugs off Olympics impact on thirdquarter growth,Tencent sends strong message,Results,Companies reporting this week,,,,,,,
,,,Results,Results,,A shuns paidfor music downloads amid piracy,,,,,,,
,,,"Taobao, Baidu intensify online retail rivalry",Tencent expects limited impact from slowdown,Results,Jams spark debate on future of ;golden week;,,Taobao to get b yuan from parent Alibaba,Turmoil slashes wealth of mainland;s  richest,,,,
,,,Tencent net surges but warns of weak quarter,Results,Results,Results,,,,,,,
,,,Seven HKlisted stocks among BNP;s best bets,,,,,,,,,,
,,,Winning streak,The few safe havens of ; set to retain their strength,,,,,,,,,
,,,Hutchison handset unit eyes growth,Secondary luxury home sales rise to month high amid bargain hunting,,,,,,,,,
,,,Companies reporting this week,"Netizens best at exposing official graft, says survey",,,,,,,,,
,,,Bluechip index may see new members,,,,,,,,,,
,,,Tencent leaps to record as analysts lift forecasts,Mainlanders back to bargain hunt,,,,,,,,,
,,,Tencent jumps .pc on upgrade,Tencent eyes mainland listing so users can buy shares,Shenzhen;s new mayor hints at priorities on tour,QQ puts office workers in its message sights,,Shanda boosts revenue pc in first quarter,,,,,
,,,,News Quiz,Ten good bets to look out for in the next six months,Search alliance faces tough market,Investor mood lifts as economy picks up,,,,,,
,,,Tencent profit surges pc on online services,,Alibaba profit drops pc but membership surges,"HSI cracks , level but turnover weakens",Taobao online transaction volume surges pc,,,,,,
,,,,Brands win favour as spending power grows,,,,,,,,,
,,,Early start in drive to get top graduates,,,,,,,,,,
,,,,Buffett magic lifts Wang to top of China rich list,,,,,,,,,
,,,Taobao to launch ecommerceready phones,Online games revenue forecast to hit b yuan,Stealing by another name is allowed in online game,,Stealing of cyber veggies thrives in a lonely world,,,,,,
,,,Lenovo forecasts mobile internet devices will outsell computers,"Pullout would benefit rivals, but innovation and competition could languish",Western delusions,,,,,,,,
,,,Warcraft to drive NetEase growth,Regulatory nod for NetEase offer defuses turf war,,,,,,,,,
,,,Erasers purge cyberspace of ;bad press;,"Savvy gamers will want more, Tencent warns","Savvy gamers will want more, Tencent warns",Doors still open for Alibaba as Tencent thrives,Companies reporting this week,,Tech sector learns hard lessons of burst bubble,,,,
,,,Tencent acquires stake in Russian internet firm,Baidu seen as next US$b internet firm,"Facebook to set up shop in China, reports say",,,,,,,,
,,,Tencent targets more emerging markets after push into Russia,NetEase seeks acquisition target to boost online search service,,,,,,,,,
,,,Stock picks outside the comfort zone win out,,,,,,,,,,
,,,Baidu gains ground over online search rivals,Mainland internet firms dominant in top ,Crackdown begins on microblog activities,Father sent for ;reeducation; over Net posts,Youku banks on userpays approach,,,,,,
,,,Tencent plans to ride on success,Online giants look to strong earnings despite challenges,Companies reporting this week,,,,,,,,
,,,Firing of editors tied to story critical of Tencent,Baidu widens lead in mobile internet search,EMC wants to grow faster on mainland,Hu heaps praise on Li Kashing as they meet for a oneonone,,,,,,,
,,,Anger at Shenzhen home subsidies for superrich,Baidu grows on Google;s mainland woes,Testing times as easy picks have disappeared,,,,,,,,
,,,"Tencent says sorry, denies any breach of privacy",Tencent to boost security against malicious software,Mainland cyberwar raises fears for privacy,NetEase to boost game roster as profit rises pc,Microblogs keep mainland censors on toes,,,,,,
,,,China giant Tencent lifts instant messaging service abroad,State firms claim top brand valuations,"Nothing can stop the empty chair, one Net user writes as officials race to remove offending posts",Sina to tap Weibo;s commercial potential,,,,,,,
,,,Who to watch in a consumption boom,Tencent eyes tech investment fund,Shenzhen to shift from speed to quality in new fiveyear plan,HK;s little brother Shenzhen grows up,Microblogs the right recipe for Beijing cake shop;s success,Idol pursuits,,,,,
,,,Social media finding ways around censors,Portals gird for battle of microblogs,Groupon bargain site launched on mainland,Activision seeks to boost business on mainland,Official media court investors in the quest for internet influence,,,,,,
,,,Tencent income set to top .b yuan,"Tencent extends social networks, efinance to ensure expansion",Companies,Companiesreporting this week,Xinjiang;s populist leader joins ranks of microbloggers,Internet links up public and delegates,,,,,
,,,HK the ideal hub for big equity deals,Phoenix targets US$m with NYSE listing,Dell to raise spending on China operations,,,,,,,,
,,,Tencent buys stake in travel agency eLong,Heady ascent for newly powerful ;Brand China;,Tencent silences online bridge debate,Digital Sky purchase puts Tencent top of buyers; gameboard,China climbs the branding ladder,China brands star in global top ,Inhouse titles help lift profits pc at NetEase,"Exchange eyes mine, luxury sectors",Wall St ready for run on Renren as clamour sends value up before IPO,Another blow for mainland web users,
,,,Market Calls,Tencent sets aside funding for apps,Cash crusader goes cyber,Social networking is name of the game,Mainland banks lead slide in response to lending squeeze,Cash ;heroine; popular on the web,,,,,
,,,Kingsoft founders sign pact after sale of stake,Out of control,Dell opens IT solution centre in Chengdu,Ministry;s response stirs anger,Baidu nearly doubles profit,,,,,,
,,,Growth dip fails to stop Tencent investment plans,Reporting this week,"Wenzhou crash response exposes rot in political system, say analysts",,,,,,,,
,,,"Fiona Sit Hoikei, actresssinger",Making people vanish,,,,,,,,,
,,,ChinaVision to pay HK$b for China Entertainment,Quotes,State websites poised for IPOs,,,,,,,,
,,,Shanghai tries to connect with online population,Tencent primed to use bonds for buying spree,,,,,,,,,
,,,First global issue for Tencent raises US$m,Does blogs; blooming mean schools of thought can contend?,How the chic learned to click,China reels in the pirates,,,,,,,
,,,Mainland industry giants still top picks,Odyssey in search of human kindness,Mainland online ad spending to exceed HK$.b,,,,,,,,
,,,Tycoon silent on Facebook stake plan,Leung plays waiting game on nominations,Apple takes a big bite of China,,,,,,,,
,,,Microblogs take HK;s hot contest over the border,Microblog users on net after deadline,Reporting this week,Microblog sites punished after coup rumours,Rivals merge to form online video giant,Tang sinks as rivals shine in first debate,,,,,
,,,"Qihoo, Tencent face off in antimonopoly case",Critics snared in microblog crackdown,Rumour battle cannot be won,Mainland web giants to buy video content jointly,Microbloggers back in action,;Even Hollywood movies cannot compare to this;,,,,,
,,,Row over ;Accept graft; editorial,Sina plans to keep investing in microblog,Private bank keen to spread its wings,Mainland brands join Apple in top ,Baidu smartphone plan ;long term;,Triads may be in on hijacking by N Koreans,HK firm may win as soccer body seeks new partners,Banking on staying power with China,Stock tactics,,
,,,"Apple, Baidu in rumoured tieup",Party still has the last word in world of media commentary,,,,,,,,,
,,,Tencent buys pc stakein Caixin,,Corrections; clarifications,U.S. consulate;s Weibo account is suspended,Posts generation speaks up,,,,,,
,,,Tencent returns to bond market with US$ million issue,Tencent bonds: Activision in view? ,Tencent touts allround social app WeChat for smartphones,Official arrested for sex with boys,Solid Q results put Tencent on path to more investments,"Alibaba, Tencent, Ping An JV: insuring failure","DJR Digest: Some thoughts on future journalism, and some facts of China’s digital giants","Morning Clicks, August ",Ping An announces plan for internet insurance,China internet advertising spending jumps % in Q,
,,,Tencent WeChat wows mobile IM ,"Digest: Localize your business, cases by Tencent and Amazon",WhatsApp faces tough time in China,Youku Tudou sees cost cuts after merger,Alibaba keeps focus on China despite the economic slowdown,"What the mainland media say: September , ",Alibaba keeps its focus on China despite economic slowdown,Graduates favour Western companies for best jobs,Travelzoo AsiaPacific targets affluent consumers in mainland market,Mainland media;s protest coverage looks inward,
,,,Tencent;s GroupNet: a group buying consolidator ,Tencent ECommerce: Price Wars II?,Taiwan opposition voice security fears over WeChat launch,Market Wrap: Hong Kong stocks rise on China easing hopes; AIA jumps,Chinese censors block New York Times,Kindergarten child abuse photos have netizens seeing red,Beverage tycoon tops Forbes; China rich list,China;s top  richlist fall in value,Price war among mainland online travel agencies to leave few survivors,,
,,,"China Mobile G stable, weighs Fetion move ",Hu Jia explains why mobile apps make activism spooky,Harbin woman allegedly murdered by WeChat ‘friend’,Dell strengthens hold as mainland;s No  computer brand,Market Wrap: Hang Seng bounces back from onemonth low,Advertising campaigns for mobile apps reach new high,Mizuho to open China fund despite Japanese dispute,Hong Kong stocks retreat from month high,Market cool to the new lowergrowth leaders,"Market Wrap: Hang Seng down .pc on China, US worries",
,,,Tencent;s ;WeChat; instantmessage app will challenge Sina,Alibaba celebrates . million users on Taobao in Hong Kong,Virtual networks coming in ,Xi Jinping keeps things low key in trip to Shenzhen,Hu Jintao makes surprise visit to his hometown of Taizhou,"Private mainland brands accelerate growth, report finds",Students divided by Taiwan Strait have lot in common ,Chengdu aims to be world’s next Silicon Valley,Speculation over Xi Jinping;s weibo account,"Xiaomi, Nokia in new web tieups",
,,,;Tis the season to reorganize, million and clicking Tencent;s web chat service a hit,China Mobile muscles Tencent into revenue sharing talks ,The myth of Chinese social media user numbers,SMS at start of long decline for China telcos,Twitter likely to launch IPO in ,Taobao vendors cash in on iPhone ;consumer vanity; market ,"China overspending on foreign investments, IMF reports",Xinhua news website applies for Shanghai IPO,China targets celebrities over speech freedom comments in censorship row ,
,,,"Business Digest, March , ","Business Digest, February , ",Former Google China chief banned from microblogging sites,NetDragon;s spinoff of mobile internet business gets green light,"Business Digest, February , ",Suning joins reorganisation crowd,Human rights lawyer banned from mainland microblogging sites,How online dating lost its stigma,Lenovo shares climb to year high after gaining ;bluechip; status,"HSI adds Lenovo, dumps Chalco",
,,,Tencent prevails in antitrust suit,"New WeChat platform attracts indie publishers, and censorship may be close behind",Chairman adds to holdings in Dah Sing amid active trading,Xi Jinping wraps up Africa tour and Guangdong admits to pension fund debt,Four people killed in Xinjiang knife attack,Outcry after official urges Wechat to charge a fee,Jack Ma sees China online trade entering ;golden age;,China jails  on terrorism charges and the debate about the Chinese Dream continues,"Yunnan chengguan accused of beating blind, homeless man","Brand survey: Nokia, Dangdang still hot",
,,,China Unicom sides with Tencent over WeChat,China Mobile hit by bad Wifi bet,"Sina, Alibaba resurrect tieup talks",Alibaba chief Jack Ma confident on mobile push,"China news roundup: Mental health law enters into effect, Chen Guangcheng;s family harassed",China frees Tibetan activist and jails Guangdong cult member ,Watch imprint on quake official;s wrist goes viral on internet,Loss of market share sees Yahoo China shut mainland email service,Reporter in Guangzhou purchases marijuana online on Alibaba site,Provinces react to stumbling pork prices and supermarkets abroad restrict milk powder sale,
,,,"Tencent first quarter profit rises pc onyear, driven by online games","China news roundup: Riot police quell protest in Beijing, Baidu expands in Indonesia",Chinese boat owner says he was assaulted by North Koreans,Sohu seeks investors to drive growth,"China news roundup: Kunming residents take to the streets, CCTV airs antiDalai Lama film",China;s press censors in spotlight as Caixin Century Weekly suspends legal section,Retail counters record strong buying,Online shoppers head into new waters for best deals,,,
,,,"Hong Kong shares rebound from sevenweek low, Tencent rises",Apple set for bigger bite of China mobile market with iOS ,Jego suspension: China Mobile;s latest mixed signal,Mainland China copyright watchdog monitors Apple and Amazon,Exposure via internet now China;s top weapon in war on graft,Party accused of covering up official;s lavish lifestyle,Sina weighs down Weibo with video,Apple;s revamped iOS receives mixed reception from consumers,Angel investor is really getting started on China,,
,,,Tencent kicks off mobile games testing for WeChat,Tencent to woo more developers for its services,Tencent wants to cash in on WeChat popularity,"Tencent, Alibaba woo matchmaking site Jiayuan",Severed cables leave WeChat users in limbo,"Hong Kong shares close down .pc, but post best month in ",Baidu buys app store to boost its mobile armoury,Singer Wu Hongfei to be freed after bomb threat,"China news roundup: Leadership ranking changes, fakes universities exposed","CY Leung gets a Sina Weibo account, but no posts yet",
,,,Tencent net profit up .pc in quarter,"Tencent launches updated, monetised WeChat version with paid emoticons",Tencent denies report of Singapore IPO for WeChat spinoff,Mobile ecommerce battle heats up in China,New WeChat ;Airplane War; game sending addicted players to hospital,"For Xiaomi, it’s what’s on the inside that counts","WeChat ties up with Unicom, splits with Alibaba",Hainan sex scandal reporter loses job due to alleged government pressure,New York Times apologises to tennis superstar Li Na for steroid use allegation,"China news roundup: Bo Xilai supporter arrested, Tibetan selfimmolates in Nepal",
,,,Tencent teams up with Sohu to vie for No  spot,Tencent dips toe in high finance,Tencent builds momentum for mobile ecommerce push,"Rocky marriage ahead for Sohu, Tencent",Netizens disappointed with media reaction after Faye Wong’s divorce announcement,Search wars begin as Sogou sues Qihoo,Search wars begin as Sogou sues Qihoo,City commercial banks stand before new frontiers,Microsoft in China games joint venture,"China news roundup: Landmark torture trial in Zhejiang, local opposition to Third Plenum draft",
,,,"Tencent, Alibaba open mobile payments battle via vending machines","Hong Kong shares end down slightly, Tencent off record high",Tencent guarantees all financial transactions after barrage of criticism by rival Alibaba,Jack Ma ;threatens to take away bonus; from staff who fail to promote messaging app ,"Weibo: HuaweiLenovo, AlibabaBaidu in new courtships?",Jackie Chan hits back at ;sensationalist; media reports on his natural disasters comments,North Korean painters add s twist to Chinese propaganda posters,"In China, not all mobile apps are made equal",Online firms clicking for mobile users,Alipay to expand into Taiwan;s online payments market next year,
,,,Supreme Court hears monopoly case between Qihoo and Tencent,Bullish Tencent options hit year high,Bulls come out for Tencent ahead of Q financial results,WeChat helps Tencent make over HK$m in Single;s Day sales ,Tencent rejects WeChat prostitution allegations ,Investments weigh down internet giant,"Lenovo, Tencent directors lead rush to unload shares","Social media drive helps lift ;Double ; sales for Alibaba, Tencent",Weibo: Tencent;s Pony Ma finds new public face,Baidu feels the heat in search rivalry,
,,,Tencent anchors international expansion on Hong Kong datacentre alliances,Tencent to invest b yuan in Qianhai,"No longer just for chatting, WeChat will soon become a financial service platform","Weibo: Tencent;s Pony gets promotional, Alibaba spins Cameron","Weibo: Qihoo takes high road against Tencent, Baidu, Xiaomi",Chinese giants lead the pack as industry cashes up,Tencent poised to become China;s mobile gaming juggernaut,Why WeChat app is good news for Chinese censors,"Weibo: Jingdong;s Liu comes home, Sina Weibo loses lustre","Chinese brands gain clout, but lack overseas profile",
,,,Mapping China;s byways: Tencent street view fleet heads down new roads,Tencent launch powers shares to fresh record,Tencent eyes ecommerce presence,Tencent invests in Chinese taxi app,China;s online giants Alibaba and Tencent go head to head,How firms are using ;black PR; to tear down their rivals,"In an effort to compete with Tencent, Alibaba reveals the first of its mobile games",New Alibaba platform offers mobile game developers bigger payout,Popular Chinese taxibooking apps leave smartphonefree travellers out in the cold,Infographic: China;s online game industry made HK$ billion in ,
,,,Tencent brings its popular messaging app to desktops with WeChat for Mac,Strong rally fuels gamble on Tencent,Tencent buys pc stake in consumer review site Dianping,"Meet Weishi, Tencent;s version of Vine",South African media group struck gold by taking a chance on Tencent,Tencent channel falls for The Onion;s Olympics sex spoof,Banks fight back against online investment products,Tencent and JD.com take on common foe Alibaba by merging ecommerce services: report,"Alibaba, Sina cast envious eyes on Tencent;s ;Hongbao;","Price war escalates between taxihailing apps backed by internet giants Alibaba, Tencent",
,,,WeChat’s latest viral hit in China: health insurance,"PBOC halts plans by Tencent, Alibaba for virtual credit cards",China mobile payments market to expand as TencentAlibaba rivalry heats up,Tencent aims to work with regulator on online financial services market,TencentJD.com alliance intensifies ecommerce challenge to Alibaba,Tencent leads decline in Asian internet stocks,A tale of two internet leaders: Tencent vs Alibaba,Fresh China media crackdown hits popular accounts on Tencent;s WeChat,Tencent M&amp;A in overdrive with reported handset bid,JD.com may launch US$.b listing in second quarter,
,,,Tencent to bolster expansion plans with record bond sale,Tencent primed for more M&amp;A deals after big bond issue,Tencent stays ahead of the game,Baidu cautious on acquisitions as giants rush to strike deals,"Alibaba, Tencent take rivalry to mobile network services",Alibaba IPO poised for reality check as internet stocks decline,Buyback snaps Tencent;s fourday losing streak,Ma disrupts China;s mobile internet market,Suzhou bans third party taxi booking apps,Lenovo joins bond issue boom,
,,,Tencent expansion in Asia may be bolstered by Kakao connection,Tencent overtakes China Mobile to become Asia;s most valuable brand,Tencent;s messaging app WeChat target of latest crackdown by officials,Profit at tech firm Tencent up pc in first quarter year on year,"Tencent surges as profit beats estimates on mobile games, ads",Tencent subsidiary backs Cheetah Mobile IPO,Chinese blogger ‘fired’ after John Kerry meeting ,Richard Liu set to become billionaire on JD.com;s US share sale,Chinese brands in world of their own,US ’troubled’ by sacking of Chinese blogger,
,,,.com announces US$m investment from Tencent and WeChat integration,Weibo: Tencent;s quick take on .com; Xiaomi tries on Vancl,China South City to invest HK$b in ecommerce push with Tencent,Speculation on Tencent interest fuels rise in SMI Culture shares,Tencent director leads disposals in sluggish trade,"Weibo: JD;s  hype, Xiaomi;s price cut",Cartoon selfie app is a hit with mainland users, yuan at stake in Guangdong;s first WeChatlinked IPO infringement trial ,China cracks down on Apple’s iMessage as national web cleanup continues,Launch of new products to grow mainland China online finance market,
,,,Tencent gets official approval to create private bank in Qianhai,Tencent to partner with more developers to fuel its mobile games expansion,China;s top smartphone app MYOTee is inspired by manga,CCTV host Rui Chenggang may have had stake in PR firm linked to channel’s shows,Japanese videogame maker eyes mainland market,Chinese head for online banking services as Weibo users shrink,Xiaomi founder Lei Jun donates HK$ million worth of stocks to employees,Chinese developers to benefit from rise of console games market,Make Tianjin a Shenzhen of the north,Outspoken commentator Li Chengpeng silenced on Chinese social media,
,,,Wanda links with Tencent and Baidu in b yuan ecommerce venture,Tencent profit rises pc on boost from gaming and advertising,Sinopec and Tencent consider collaboration,Tencent enables users to pay utility bills through WeChat,Tencent in M&amp;A overdrive with new tieups,"JD.com joins Tencent in selling , smartphones",Tencent to clean up its WeChat service amid crackdown rumours,"Execs voice sympathy for Nokia, Microsoft, Tencent",Chinese mother gives birth to whopping .kg baby boy,"Despite the iPhone;s popularity, Android remains king in China",
,,,Tencent raises stake in mall operator,Tencent invests US$ million in academic medical portal DXY,More funds flow to Alibaba;s anticipated recordsmashing IPO,Alibaba gains approval to establish commercial bank in Hangzhou,WeChat’s winning formula helps Apple rack up bonus points in China,Chinese officials told to avoid WeChat;s red packets as graft busters fear webbased bribes,China shuts almost . million accounts in pornography crackdown,Online strategies loom as game changer in China home market,Alibaba;s mega IPO signals rise of China;s new wave of tech giants,The unlikely rise of Shenzhen: paradise for hardware innovators,
